postcode,construction_age_band,in_conservation_area
EC2Y 8DR,1967-1982,1
EC2Y 8NJ,1967-1982,1
EC2Y 8NA,1967-1982,1
EC2Y 8BY,1967-1982,1
EC2Y 8DP,1930-1949,1
EC2Y 8BX,1967-1982,1
EC1A 4LA,1950-1966,1
EC1A 7BX,1900-1929,1
EC1A 7BT,1983-1995,1
EC2V 6BN,pre-1900,1
EC2V 6HH,1900-1929,1
EC1A 4ER,2012-onwards,1
EC2Y 8AA,1930-1949,0
EC1Y 0SL,1950-1966,1
EC1Y 0SN,1950-1966,1
EC1Y 0SJ,1967-1982,1
EC2Y 8AF,1967-1982,1
EC2Y 8DH,1967-1982,1
EC2Y 8DE,1967-1982,1
EC2Y 8HD,1996-2011,1
EC2Y 8BJ,1967-1982,1
EC2Y 8BE,1967-1982,1
EC2Y 8BH,1967-1982,1
EC2Y 8AU,1900-1929,1
EC2Y 9BA,2012-onwards,0
EC2Y 9AZ,2012-onwards,0
EC2Y 9AP,2012-onwards,0
EC2Y 8AT,1967-1982,1
EC2Y 9BB,2012-onwards,0
EC2Y 8BL,1967-1982,1
EC2Y 8BN,1967-1982,1
EC2Y 8AX,1930-1949,1
EC2Y 8AY,1967-1982,1
EC2Y 5AG,2012-onwards,0
EC2V 7AF,1930-1949,0
EC2Y 8BA,1967-1982,1
EC2V 5AF,1900-1929,1
EC2V 7HR,2012-onwards,0
EC2Y 5BN,1950-1966,0
EC2V 7DE,1967-1982,0
EC2Y 5BL,1967-1982,0
EC2V 7AD,1950-1966,1
EC2Y 5DE,2012-onwards,0
EC1Y 0ST,1967-1982,1
EC1Y 0TN,1950-1966,1
EC1Y 0TR,1967-1982,1
EC1Y 0TP,1950-1966,1
EC1Y 0SU,1950-1966,1
EC1Y 0RJ,1950-1966,1
EC1Y 0AD,2012-onwards,0
EC1Y 0RL,1950-1966,1
EC1Y 0RN,1950-1966,1
EC1Y 0AB,2012-onwards,0
EC1Y 0SA,1930-1949,0
EC4V 5EG,1900-1929,1
EC4V 5AF,pre-1900,1
EC4M 7AS,pre-1900,1
EC4V 5DT,pre-1900,1
EC4V 5EP,1996-2011,1
EC4V 6EL,pre-1900,1
EC4M 7BU,pre-1900,1
EC4M 7BY,1983-1995,1
EC4V 6EP,1996-2011,0
EC4V 5EN,1996-2011,1
EC4V 5EH,1900-1929,1
EC4V 5DE,pre-1900,1
EC4M 9AD,1967-1982,1
EC4V 6DX,2012-onwards,1
EC4V 5DR,1900-1929,1
EC4V 5EU,1900-1929,1
EC4M 7DE,pre-1900,1
EC4V 4BT,pre-1900,0
EC4V 5AH,pre-1900,1
EC4V 5BY,pre-1900,1
EC4V 4EG,pre-1900,0
EC4M 7BR,pre-1900,0
EC4V 5AB,pre-1900,1
EC4V 5EA,1967-1982,1
EC1A 7BA,pre-1900,1
EC4V 4BY,pre-1900,1
EC4V 5AG,pre-1900,1
EC4V 5DY,pre-1900,1
EC2V 6BR,pre-1900,0
EC4M 7DD,pre-1900,1
EC4V 5AA,pre-1900,1
EC4Y 9AJ,pre-1900,1
EC4A 4AX,1900-1929,1
EC4Y 9AR,pre-1900,1
EC4Y 0DF,2012-onwards,1
EC4Y 0AA,2012-onwards,1
EC4Y 7BX,pre-1900,1
EC4Y 0DD,1900-1929,1
EC4Y 8AD,1996-2011,1
EC4A 3EB,1996-2011,1
EC4Y 1AA,pre-1900,1
EC4A 2EJ,1900-1929,1
EC4Y 8DB,1900-1929,1
EC4A 3EA,1996-2011,1
EC4Y 9AA,pre-1900,1
EC4A 3DQ,pre-1900,1
EC4Y 0AY,1996-2011,1
EC4Y 9AP,pre-1900,1
EC4A 3DL,pre-1900,1
EC4Y 8AU,pre-1900,1
EC4A 3BA,1996-2011,1
EC4A 2BP,1930-1949,1
EC4Y 9BU,pre-1900,1
EC4Y 7DQ,pre-1900,1
EC4Y 9AY,pre-1900,1
EC4Y 1JU,pre-1900,1
EC4Y 7BH,pre-1900,1
EC4Y 9BB,pre-1900,1
EC4A 3EF,1950-1966,1
EC4Y 9AL,pre-1900,1
EC4A 2EA,1900-1929,1
EC4Y 7BJ,pre-1900,1
EC4Y 7DU,pre-1900,1
EC4Y 8JJ,pre-1900,0
EC4Y 9AH,pre-1900,1
EC4Y 7EB,pre-1900,1
EC4Y 7EP,pre-1900,1
EC4Y 7DL,pre-1900,1
EC4Y 7DX,pre-1900,1
EC4Y 7AY,pre-1900,1
EC4Y 9AU,2012-onwards,1
EC4A 3BY,pre-1900,1
EC4Y 1HT,2012-onwards,1
EC4Y 9BE,pre-1900,1
EC4Y 9AD,pre-1900,1
EC4Y 7BA,pre-1900,1
EC4Y 9BY,pre-1900,1
EC4Y 9DB,pre-1900,1
EC4Y 7DS,pre-1900,1
EC4Y 1BT,pre-1900,1
EC4Y 7DE,pre-1900,1
EC4Y 7AP,2012-onwards,1
EC4Y 9DA,pre-1900,1
EC4Y 8EQ,2012-onwards,1
EC4Y 7AH,1950-1966,1
EC4Y 7AA,1950-1966,1
EC4A 2BU,1967-1982,1
EC4Y 7BL,pre-1900,1
EC4A 3JR,pre-1900,0
EC4Y 7DN,pre-1900,1
EC4Y 7AT,1950-1966,1
EC4Y 7AR,2012-onwards,1
EC4Y 7AX,pre-1900,1
EC4Y 7EN,pre-1900,1
EC4Y 7BS,1900-1929,1
EC4V 6AP,pre-1900,1
EC4Y 7EU,pre-1900,1
EC4Y 7EX,pre-1900,1
EC4Y 7AN,2012-onwards,1
EC4Y 7BB,pre-1900,1
EC4Y 1DH,pre-1900,1
EC4Y 7HB,2012-onwards,1
EC4Y 7EQ,pre-1900,1
EC4Y 7AB,1950-1966,1
EC4Y 7ET,pre-1900,1
EC4Y 7EL,pre-1900,1
EC1N 2JT,2012-onwards,1
EC4A 1BT,1930-1949,1
EC4A 1BF,2012-onwards,1
EC4A 1BX,1996-2011,1
EC4A 1JQ,2012-onwards,1
EC4A 1DT,1900-1929,1
EC4A 1LR,1983-1995,1
WC2A 1LS,pre-1900,1
EC4A 1BY,1930-1949,1
WC2A 1AF,1996-2011,1
WC2A 1LR,pre-1900,1
WC1V 7PB,1967-1982,0
EC4A 2HD,pre-1900,1
EC4A 1HP,pre-1900,1
EC3N 2AT,2012-onwards,0
EC3N 1NT,1900-1929,0
E1 8BQ,1967-1982,0
EC3N 2AQ,2012-onwards,0
EC3N 1JJ,1996-2011,0
E1 8RB,1996-2011,0
EC3N 2AJ,2012-onwards,0
EC3N 2AG,2012-onwards,0
EC3N 2PU,1900-1929,0
EC3N 1BD,1900-1929,0
EC3N 2DB,1900-1929,0
EC3N 2LR,1967-1982,0
EC3N 1DR,pre-1900,0
E1 8BZ,1996-2011,0
EC3N 1DE,pre-1900,0
EC3N 2HS,1900-1929,0
EC3N 1AL,pre-1900,0
E1 8AH,1900-1929,0
EC3N 1LQ,1983-1995,0
EC3N 1LS,1900-1929,0
EC3A 7LP,1900-1929,1
E1 7AD,1996-2011,0
E1 7EA,1967-1982,0
E1 7EB,1950-1966,0
E1 7ED,1983-1995,0
EC2M 4YA,pre-1900,0
E1 7EG,1967-1982,0
E1 7EE,1967-1982,0
E1 7EF,1967-1982,0
EC3N 1BL,2012-onwards,0
E1 8AQ,1967-1982,0
E1 8AB,1967-1982,0
E1 8AE,1967-1982,0
IG11 8RD,1900-1929,0
IG11 8RG,1967-1982,0
IG11 8TQ,1996-2011,0
IG11 8RA,1930-1949,0
IG11 8QU,1900-1929,0
IG11 8RB,1900-1929,0
IG11 8JZ,1967-1982,0
IG11 8JY,1967-1982,0
IG11 8JX,1983-1995,0
IG11 8BQ,1996-2011,0
IG11 8FH,2012-onwards,0
IG11 8FN,2012-onwards,0
IG11 8NE,1950-1966,0
IG11 8FZ,2012-onwards,0
IG11 8FE,1967-1982,0
IG11 8JQ,1930-1949,0
IG11 8LA,1930-1949,0
IG11 8JD,1950-1966,0
IG11 8JA,1983-1995,0
IG11 8TB,1930-1949,0
IG11 9TW,1930-1949,0
IG11 8SF,pre-1900,0
IG11 9TJ,1930-1949,0
IG11 8TA,1930-1949,0
IG11 8TG,1930-1949,0
IG11 9TA,pre-1900,0
IG11 8QP,1967-1982,0
IG11 8QS,1967-1982,0
IG11 8QR,1967-1982,0
IG11 8LW,1950-1966,0
IG11 8LN,1996-2011,0
IG11 8LP,1996-2011,0
IG11 8LY,1967-1982,0
IG11 8LR,1996-2011,0
IG11 8LD,1983-1995,0
IG11 8ND,1983-1995,0
IG11 8LB,1983-1995,0
IG11 8PG,1996-2011,0
IG11 8PF,1983-1995,0
IG11 8RJ,1900-1929,0
IG11 8RN,1996-2011,0
IG11 8PL,1983-1995,0
IG11 8QJ,1900-1929,0
IG11 8LT,1996-2011,0
IG11 8LS,1996-2011,0
IG11 8NB,1967-1982,0
IG11 8LX,1996-2011,0
IG11 8LU,1996-2011,0
IG11 9TP,1900-1929,0
IG11 9TL,1900-1929,0
IG11 9TH,1930-1949,0
IG11 8LH,1967-1982,0
IG11 8LL,1967-1982,0
IG11 8LF,1967-1982,0
IG11 8LJ,1967-1982,0
IG11 8NA,1967-1982,0
IG11 8RR,1996-2011,0
IG11 9XH,1900-1929,0
IG11 9TE,1996-2011,0
IG11 9TD,1900-1929,0
IG11 9TF,1930-1949,0
IG11 9TB,1930-1949,0
IG11 8LG,1950-1966,0
IG11 8LZ,1950-1966,0
IG11 8JH,1930-1949,0
IG11 8JL,1930-1949,0
IG11 9SU,1900-1929,0
IG11 9XN,1900-1929,0
IG11 9XW,1930-1949,0
IG11 9XP,1930-1949,0
IG11 9TG,1930-1949,0
IG11 9XJ,1930-1949,0
IG11 9XL,1900-1929,0
IG11 9XQ,1900-1929,0
IG11 9TN,1930-1949,0
IG11 9TQ,1900-1929,0
IG11 9TR,1930-1949,0
IG11 8LQ,1967-1982,0
IG11 8BB,2012-onwards,0
IG11 8BU,1950-1966,0
IG11 8SG,2012-onwards,0
IG11 8JG,1950-1966,0
IG11 8SH,2012-onwards,0
IG11 8JT,1930-1949,0
IG11 8JN,1950-1966,0
IG11 8JS,1930-1949,0
IG11 8JW,1950-1966,0
IG11 8JJ,1930-1949,0
IG11 9XF,1996-2011,0
IG11 9XE,1996-2011,0
IG11 9XS,1930-1949,0
IG11 9XR,1900-1929,0
IG11 9TT,1930-1949,0
IG11 8DB,1930-1949,0
IG11 8JF,1950-1966,0
IG11 8JP,1950-1966,0
IG11 8DD,1930-1949,0
IG11 8JR,1950-1966,0
IG11 7XA,1900-1929,0
IG11 7QF,1930-1949,0
IG11 8QX,1900-1929,0
IG11 8QY,1930-1949,0
IG11 8RH,1900-1929,0
IG11 8RF,1900-1929,0
IG11 8RQ,1900-1929,0
IG11 8QZ,1900-1929,0
IG1 2JJ,1950-1966,0
IG11 8PZ,1900-1929,0
IG11 8QG,1930-1949,0
IG11 8RL,1900-1929,0
IG11 8QQ,1900-1929,0
IG11 8QT,1996-2011,0
IG11 8PA,1996-2011,0
IG11 8PX,1950-1966,0
IG11 8FQ,2012-onwards,0
IG11 8LE,1996-2011,0
RM10 8BG,1930-1949,0
RM10 8BQ,1930-1949,0
RM10 8DB,1930-1949,0
RM10 8LB,1950-1966,0
RM10 8NB,1930-1949,0
RM10 8JP,1930-1949,0
RM9 5XH,1950-1966,0
RM9 5XD,1930-1949,0
RM9 5XB,1950-1966,0
RM9 5AX,1930-1949,0
RM9 5XA,1930-1949,0
RM10 8QJ,1930-1949,0
RM10 8PT,1930-1949,0
RM10 8QL,1930-1949,0
RM10 7ST,1930-1949,0
RM10 8QA,1930-1949,0
RM10 8AZ,1930-1949,0
RM10 8AY,1930-1949,0
RM10 7AW,1900-1929,0
RM9 5AR,1930-1949,0
RM9 5AH,1900-1929,0
RM9 5AU,1930-1949,0
RM9 5XJ,1930-1949,0
RM9 5AP,1900-1929,0
RM9 5DQ,1983-1995,0
RM10 8PX,1930-1949,0
RM10 8QB,1930-1949,0
RM10 8QH,1930-1949,0
RM9 5QU,1967-1982,0
RM9 5BB,1930-1949,0
RM9 5AS,1930-1949,0
RM9 5AE,1950-1966,0
RM9 5DX,1930-1949,0
RM9 5BA,1900-1929,0
RM9 5BD,1930-1949,0
RM9 5AT,1930-1949,0
RM9 5BE,1967-1982,0
RM10 8BZ,1930-1949,0
RM10 8DF,1930-1949,0
RM10 8NT,1930-1949,0
RM10 8BN,1930-1949,0
RM10 8ED,1930-1949,0
RM10 8GF,1996-2011,0
RM10 8GJ,1996-2011,0
RM10 8GN,1996-2011,0
RM10 8HB,1930-1949,0
RM10 8DE,1930-1949,0
RM10 8HH,1930-1949,0
RM10 8EE,2012-onwards,0
RM10 8QD,1930-1949,0
RM10 8PU,1930-1949,0
RM9 5UX,1930-1949,0
RM10 8DD,1930-1949,0
RM10 8NS,1930-1949,0
RM10 8BY,1930-1949,0
RM10 8JT,1930-1949,0
RM10 8LN,1996-2011,0
RM10 8BW,1930-1949,0
RM10 8NR,1930-1949,0
RM10 8NP,1930-1949,0
RM10 8JU,1930-1949,0
RM10 8NU,1930-1949,0
RM10 8JR,1930-1949,0
RM10 8JJ,1930-1949,0
RM10 8ND,1930-1949,0
RM10 8JD,1930-1949,0
RM10 8JS,1930-1949,0
RM9 5DU,1930-1949,0
RM9 5DT,1930-1949,0
RM9 5NT,1930-1949,0
RM9 5EH,1930-1949,0
RM9 5ER,1930-1949,0
RM9 5EL,1930-1949,0
RM9 5ED,1930-1949,0
RM9 5ET,1930-1949,0
RM9 5DA,1930-1949,0
RM9 5AG,1950-1966,0
RM9 5ES,1930-1949,0
RM10 8NJ,1930-1949,0
RM10 8NX,1930-1949,0
RM10 8NL,1950-1966,0
RM10 8PA,1930-1949,0
RM10 8LX,1930-1949,0
RM10 8JL,1930-1949,0
RM10 8JB,1930-1949,0
RM10 8HX,1930-1949,0
RM10 8JA,1930-1949,0
RM9 5EP,1950-1966,0
RM9 5PB,1930-1949,0
RM9 5NU,1930-1949,0
RM9 5EJ,1930-1949,0
RM10 8EA,1950-1966,0
RM10 8DX,1930-1949,0
RM10 8GP,1996-2011,0
RM10 8GQ,1996-2011,0
RM10 8HD,1930-1949,0
RM10 8JH,1950-1966,0
RM10 8HJ,1930-1949,0
RM9 5PJ,1930-1949,0
RM9 5PL,1930-1949,0
RM9 5PR,1930-1949,0
RM9 5PH,1950-1966,0
RM9 5PS,1930-1949,0
RM9 5PD,1967-1982,0
RM9 5PA,1930-1949,0
RM9 5AQ,1930-1949,0
RM10 8LU,1930-1949,0
RM10 8NH,1930-1949,0
RM10 8DP,1950-1966,0
RM9 5AF,1930-1949,0
RM10 8QS,1930-1949,0
RM10 8PD,1930-1949,0
RM9 6DA,1930-1949,0
RM10 8PB,1930-1949,0
RM10 8NA,1930-1949,0
RM10 8PH,1930-1949,0
RM10 8JX,1930-1949,0
RM10 8LD,1930-1949,0
RM10 8GY,1996-2011,0
RM10 8DU,1930-1949,0
RM10 8GX,1996-2011,0
RM10 8DT,1930-1949,0
RM10 8GU,1996-2011,0
RM10 8GW,1996-2011,0
RM10 8GS,1996-2011,0
RM10 8GT,1996-2011,0
RM9 5RL,1930-1949,0
RM9 5RJ,1930-1949,0
RM9 5RP,1900-1929,0
RM9 5NX,1930-1949,0
RM9 5RR,1930-1949,0
RM9 5PP,1930-1949,0
RM9 5RH,1950-1966,0
RM9 5RU,1930-1949,0
RM9 5RT,1930-1949,0
RM9 5RX,1950-1966,0
RM9 5BU,1967-1982,0
RM9 5RS,1930-1949,0
RM10 8HU,1930-1949,0
RM10 8LH,1930-1949,0
RM10 7AN,1930-1949,0
RM10 7YX,1930-1949,0
RM8 2RR,1950-1966,0
RM8 2BE,1950-1966,0
RM8 2RL,1900-1929,0
RM8 2RP,1930-1949,0
RM8 2JF,1996-2011,0
RM8 2BX,1930-1949,0
RM8 2BU,1950-1966,0
RM8 2RS,1930-1949,0
RM8 2RX,1930-1949,0
RM8 2SU,1950-1966,0
RM8 2RU,1930-1949,0
RM8 2TX,1930-1949,0
RM8 1YN,1996-2011,0
RM8 1YB,1930-1949,0
RM8 1XR,1930-1949,0
RM8 1XY,1983-1995,0
RM8 1YD,1950-1966,0
RM8 1XT,1930-1949,0
RM8 2QL,1950-1966,0
RM8 2QR,1930-1949,0
RM8 2QP,1950-1966,0
RM8 2QA,1930-1949,0
RM8 2QD,1930-1949,0
RM8 2PS,1930-1949,0
RM8 2PR,1900-1929,0
RM8 2JG,1930-1949,0
RM8 3XU,1983-1995,0
RM8 2JQ,1930-1949,0
RM8 2PJ,1930-1949,0
RM8 2JW,1930-1949,0
RM8 2QB,1930-1949,0
RM8 2PA,1983-1995,0
RM8 2JT,1950-1966,0
RM8 2JN,1930-1949,0
RM8 2JY,1930-1949,0
RM8 2PU,1930-1949,0
RM8 2PX,1900-1929,0
RM8 2JZ,1930-1949,0
RM8 2PT,1900-1929,0
RM8 2PB,1930-1949,0
RM8 2UU,1930-1949,0
RM8 3XT,1930-1949,0
RM8 2JX,1983-1995,0
RM8 2JS,1930-1949,0
RM8 2TD,1930-1949,0
RM8 2TB,1967-1982,0
RM8 2TE,1996-2011,0
RM8 2TL,1930-1949,0
RM8 3XS,1930-1949,0
RM8 2QT,1983-1995,0
RM8 2QS,1996-2011,0
RM8 2EB,1950-1966,0
RM8 2RB,1900-1929,0
RM8 2QX,1900-1929,0
RM8 2QU,1930-1949,0
RM8 3XR,1930-1949,0
RM8 2SP,1950-1966,0
RM8 2SL,1930-1949,0
RM8 2TP,1930-1949,0
RM8 2RA,1930-1949,0
RM8 2SJ,1930-1949,0
RM8 2GS,1996-2011,0
RM8 2QJ,1900-1929,0
RM8 2BA,1930-1949,0
RM8 2TR,1950-1966,0
RM8 2UT,1930-1949,0
RM8 2SD,1950-1966,0
RM8 2RH,1950-1966,0
RM8 2SS,1930-1949,0
RM8 2RJ,1950-1966,0
RM8 2RG,1996-2011,0
RM8 2BD,1930-1949,0
RM8 2TU,1930-1949,0
RM8 2UR,1900-1929,0
RM8 2TS,2012-onwards,0
RM8 2UL,1900-1929,0
IG11 8PD,2012-onwards,0
RM8 2DP,1930-1949,0
RM8 2DR,1930-1949,0
RM8 2EA,1930-1949,0
RM8 2DS,1930-1949,0
RM8 2DX,1930-1949,0
RM8 2TT,1983-1995,0
RM8 2EH,1950-1966,0
RM8 2UJ,1950-1966,0
RM8 2UA,1900-1929,0
RM8 2DU,1930-1949,0
RM8 2AX,1950-1966,0
RM8 2SH,1930-1949,0
RM8 2BB,1950-1966,0
RM8 2UB,1967-1982,0
RM8 2AJ,1900-1929,0
RM8 2UH,1930-1949,0
RM8 2AT,1950-1966,0
RM8 2DA,1930-1949,0
RM8 2JA,1930-1949,0
RM8 2AU,1930-1949,0
RM8 2BH,1930-1949,0
RM8 2RN,1983-1995,0
RM8 2SX,1930-1949,0
RM8 3UU,1950-1966,0
RM8 3SS,1967-1982,0
RM8 3XP,1967-1982,0
RM8 3UT,1930-1949,0
RM8 3BF,1967-1982,0
RM8 3ST,1967-1982,0
RM8 2SA,1930-1949,0
RM8 2TA,1930-1949,0
RM8 2RE,1983-1995,0
RM8 2SB,1930-1949,0
RM8 2RD,1930-1949,0
RM8 2SR,1930-1949,0
RM8 2DT,1930-1949,0
RM8 2DJ,1950-1966,0
RM8 2DL,1930-1949,0
RM8 2DD,1930-1949,0
RM8 2ED,2012-onwards,0
RM8 2XP,1930-1949,0
RM8 2AD,1930-1949,0
RM8 2XL,1930-1949,0
RM8 2AA,1930-1949,0
RM8 2HX,1930-1949,0
RM8 2HS,1930-1949,0
RM8 2AH,1950-1966,0
RM8 2ER,1930-1949,0
RM8 2EU,1930-1949,0
RM8 2ET,1950-1966,0
RM8 2YP,1930-1949,0
RM8 2YR,1930-1949,0
RM8 2NG,1996-2011,0
RM8 2JD,1930-1949,0
RM8 2NQ,1996-2011,0
RM8 2JH,1930-1949,0
RM8 2HT,1930-1949,0
RM8 2NL,1983-1995,0
RM8 2HR,1900-1929,0
RM8 2HL,1930-1949,0
RM8 2NP,1996-2011,0
RM8 2NH,1996-2011,0
RM8 2HH,1930-1949,0
RM8 2NR,1996-2011,0
RM8 2HJ,1930-1949,0
RM8 2NU,1996-2011,0
RM8 2ES,1930-1949,0
RM8 2XR,1930-1949,0
RM8 2YL,1930-1949,0
RM8 2YJ,1930-1949,0
RM8 2NN,1996-2011,0
RM8 2NJ,1983-1995,0
RM8 2NW,1930-1949,0
RM8 2GT,2012-onwards,0
RM6 6XJ,1900-1929,0
RM6 6SJ,1930-1949,0
RM6 6YU,1930-1949,0
RM6 6XP,1930-1949,0
RM6 6XR,1930-1949,0
RM6 6YS,1930-1949,0
RM6 6YH,1930-1949,0
RM6 6UT,1930-1949,0
RM6 6UX,1900-1929,0
RM6 6XH,1930-1949,0
RM6 6UR,1930-1949,0
RM6 6UP,1930-1949,0
RM6 5JP,1967-1982,0
RM6 5PD,1930-1949,0
RM6 5PP,1967-1982,0
RM6 5JL,1996-2011,0
RM6 5PL,1950-1966,0
RM6 5JA,1900-1929,0
RM6 5LA,1950-1966,0
RM6 5LL,1950-1966,0
RM6 5LJ,2012-onwards,0
RM6 5JT,1950-1966,0
RM6 5JU,1930-1949,0
RM6 5JS,1950-1966,0
RM6 5EP,1950-1966,0
RM6 5LS,1950-1966,0
RM6 5LT,1950-1966,0
RM6 5LR,1950-1966,0
RM6 5BL,1967-1982,0
RM6 5BJ,1967-1982,0
RM6 5BP,1967-1982,0
RM6 5ES,1950-1966,0
RM6 5NX,1996-2011,0
RM6 5JR,1950-1966,0
RM6 5NS,1950-1966,0
RM6 5JX,1950-1966,0
RM6 5NT,1950-1966,0
RM6 5EL,1950-1966,0
RM6 5SA,1930-1949,0
RM6 5ER,1950-1966,0
RM6 5ET,1950-1966,0
RM6 5AA,1930-1949,0
RM6 5BH,1930-1949,0
RM6 5SB,1950-1966,0
RM6 6YJ,1930-1949,0
RM6 5AH,1967-1982,0
RM6 6YX,1930-1949,0
RM6 6SP,1900-1929,0
RM6 6TB,1930-1949,0
RM6 6SS,1930-1949,0
RM6 6TD,1930-1949,0
RM6 6TH,1930-1949,0
RM6 6QU,1930-1949,0
RM6 5TJ,1930-1949,0
RM6 5TH,1930-1949,0
RM6 5UJ,1930-1949,0
RM6 5UH,1950-1966,0
RM6 6SH,1930-1949,0
RM6 5QX,1930-1949,0
RM6 5RA,1900-1929,0
RM6 6SR,1930-1949,0
RM6 6XA,1930-1949,0
RM6 6SL,1930-1949,0
RM6 6SX,1930-1949,0
RM6 6SU,1930-1949,0
RM6 6YT,1900-1929,0
RM6 6ST,1930-1949,0
RM6 6TA,1950-1966,0
RM6 5UE,1983-1995,0
RM6 5UB,1900-1929,0
RM6 6SD,1950-1966,0
RM6 6RX,1930-1949,0
RM6 6XB,1930-1949,0
RM6 6RU,1950-1966,0
RM6 6YA,1930-1949,0
RM6 6XT,1930-1949,0
RM6 6XU,1950-1966,0
RM6 6XX,1930-1949,0
RM6 6XS,1930-1949,0
RM6 6XL,1950-1966,0
RM6 6RH,1930-1949,0
RM6 6RS,1930-1949,0
RM6 6UU,1930-1949,0
RM6 6RP,1930-1949,0
RM6 6RD,1930-1949,0
RM6 6RB,1900-1929,0
RM6 6SA,1950-1966,0
RM6 6RR,1950-1966,0
RM6 6RL,1930-1949,0
RM6 6EZ,2012-onwards,0
RM6 6NY,1983-1995,0
RM6 6RT,1930-1949,0
RM6 6ND,1900-1929,0
RM6 6YD,1930-1949,0
RM6 6UL,1930-1949,0
RM6 6YB,1930-1949,0
RM6 6UH,1930-1949,0
RM6 6UD,1930-1949,0
RM6 6UJ,1950-1966,0
RM6 6TT,1930-1949,0
RM6 6UA,1900-1929,0
RM6 6PU,1930-1949,0
RM6 6PD,1930-1949,0
RM6 6PB,1996-2011,0
RM6 6UB,1930-1949,0
RM6 6PH,1930-1949,0
RM6 6QJ,1930-1949,0
RM6 4BF,1967-1982,0
RM6 4LA,1930-1949,0
RM6 6NL,1950-1966,0
RM6 6DL,2012-onwards,0
RM6 6NP,1900-1929,0
RM6 6TU,1930-1949,0
RM6 6NJ,1950-1966,0
RM6 6NH,1930-1949,0
RM6 6NB,1930-1949,0
RM6 6NR,1900-1929,0
RM5 2DD,1930-1949,0
RM5 2EA,2012-onwards,0
RM6 5QJ,1950-1966,0
RM5 2BT,1900-1929,0
RM5 2BL,1900-1929,0
RM5 2BH,1900-1929,0
RM5 2DB,1930-1949,0
RM5 2BP,1950-1966,0
RM6 5RD,1950-1966,0
RM6 5QH,1950-1966,0
RM6 5QT,1930-1949,0
RM6 5QD,1950-1966,0
RM5 2BS,1900-1929,0
RM6 5SX,pre-1900,0
RM6 5QL,1950-1966,0
RM6 5QR,1950-1966,0
RM6 5QP,1950-1966,0
RM6 5QA,1950-1966,0
RM6 5PX,1950-1966,0
RM6 5PT,1930-1949,0
RM6 5PR,1996-2011,0
RM6 5QB,1983-1995,0
RM6 5ND,1967-1982,0
RM6 5PS,1930-1949,0
RM6 5NB,1950-1966,0
RM6 5PU,1950-1966,0
RM6 5HU,1967-1982,0
RM6 5LB,1950-1966,0
RM6 5AN,2012-onwards,0
RM6 5LH,1996-2011,0
RM6 5LD,1950-1966,0
RM6 5NL,1950-1966,0
RM6 5NH,1930-1949,0
RM6 5UF,1983-1995,0
RM6 5UQ,1996-2011,0
RM6 5PH,1950-1966,0
RM6 5PJ,1950-1966,0
RM6 5HX,1967-1982,0
RM6 5HT,1930-1949,0
RM6 5EJ,1983-1995,0
RM6 5EH,1950-1966,0
RM6 5JG,1967-1982,0
RM6 5LP,1950-1966,0
RM6 5LX,2012-onwards,0
RM6 5NR,2012-onwards,0
RM6 5AG,2012-onwards,0
RM6 5NA,1950-1966,0
RM6 5HP,1950-1966,0
RM6 5HS,1950-1966,0
RM6 5HR,1950-1966,0
RM6 5HJ,1950-1966,0
RM6 5HB,1983-1995,0
RM6 5LU,1950-1966,0
RM6 5EX,1950-1966,0
RM6 5JB,pre-1900,0
RM6 5HA,1967-1982,0
RM6 5HH,1967-1982,0
RM6 5HD,1950-1966,0
RM6 5JH,1950-1966,0
RM6 5RU,1967-1982,0
RM6 5JJ,1967-1982,0
RM6 5JY,1983-1995,0
RM10 7TD,1930-1949,0
RM10 7TB,1950-1966,0
RM10 7TJ,1950-1966,0
RM10 7TH,1930-1949,0
RM10 7BA,1950-1966,0
RM10 7BS,1950-1966,0
RM10 7AT,1950-1966,0
RM10 7AS,1930-1949,0
RM10 7BF,1996-2011,0
RM10 7DB,1930-1949,0
RM10 7DD,1950-1966,0
RM10 7FJ,2012-onwards,0
RM10 7DH,1950-1966,0
RM10 7EJ,1967-1982,0
RM10 7BX,1930-1949,0
RM10 7BT,1930-1949,0
RM10 7AL,1950-1966,0
RM10 7AP,1950-1966,0
RM10 7AJ,1950-1966,0
RM10 7AR,1930-1949,0
RM10 7BU,1930-1949,0
RM10 7AD,1930-1949,0
RM10 7UD,1996-2011,0
RM10 7AA,1930-1949,0
RM10 7BP,1950-1966,0
RM10 7BL,1983-1995,0
RM10 7UH,1950-1966,0
RM10 7AH,1930-1949,0
RM10 7UJ,1950-1966,0
RM10 7DA,1930-1949,0
RM10 7DJ,1900-1929,0
RM10 7DL,1930-1949,0
RM10 7EB,1930-1949,0
RM10 7UL,1950-1966,0
RM10 7UB,1930-1949,0
RM10 7UU,1950-1966,0
RM10 7XT,1900-1929,0
RM10 7UR,1930-1949,0
RM10 7UP,1930-1949,0
RM10 7EA,1950-1966,0
RM10 7UA,1996-2011,0
RM10 7XU,1967-1982,0
RM10 8HA,1930-1949,0
RM10 8ET,1950-1966,0
RM10 8EX,1930-1949,0
RM10 7XA,1930-1949,0
RM10 7XR,1900-1929,0
RM10 7XL,1950-1966,0
RM10 7TR,1930-1949,0
RM10 7TT,1930-1949,0
RM10 7TP,1930-1949,0
RM10 7TL,1930-1949,0
